org_name,title_of_opportunity,days_of_week,time_of_day,location_type,zipcode
LumoNest Initiative,Community Engagement Fellow,"Tuesday, Thursday","Morning, Evening",Both,30303
LumoNest Initiative,Workshop Logistics Assistant,"Tuesday, Thursday, Saturday",Morning,In Person,75217
Virelia Foundation,Youth Program Mentor,"Monday, Wednesday",Morning,In Person,19143
Virelia Foundation,Grant Research Volunteer,Sunday,"Morning, Afternoon, Evening",Remote,
Virelia Foundation,Events Assistant,"Friday, Saturday, Sunday","Morning, Afternoon, Evening",Remote,
Thryssa Commons,Urban Garden Coordinator,"Wednesday, Friday",Evening,In Person,19143
Thryssa Commons,Compost Educator,"Monday, Tuesday, Wednesday, Thursday",Afternoon,In Person,85009
Zynko Project,Art Therapy Assistant,"Tuesday, Thursday",Afternoon,In Person,77021
Zynko Project,Mobile Outreach Volunteer,"Tuesday, Thursday, Saturday",Afternoon,In Person,75217
The Quendari Trust,After-School Tutor,Thursday,Afternoon,Remote,
The Quendari Trust,Volunteer Recruitment Liaison,Saturday,Morning,Remote,
BrambleLight Collective,Media Archive Volunteer,"Tuesday, Thursday",Afternoon,Both,30303
BrambleLight Collective,Local Story Collector,Thursday,Afternoon,Remote,
Solvenya Works,Digital Literacy Coach,"Friday, Saturday, Sunday",Morning,In Person,30303
Solvenya Works,Curriculum Review Volunteer,"Monday, Tuesday, Wednesday, Thursday","Morning, Afternoon, Evening",Remote,
Nexava Rising,College Application Mentor,"Tuesday, Thursday","Morning, Afternoon, Evening",Remote,
Nexava Rising,Youth Ambassador,Saturday,Morning,Remote,
OrbiKin Alliance,Donation Intake Organizer,"Friday, Saturday, Sunday",Morning,Both,75217
OrbiKin Alliance,Care Package Assembler,"Friday, Saturday, Sunday",Morning,In Person,94110
Caldra Spark Foundation,Early Literacy Tutor,"Monday, Wednesday, Friday",Evening,Remote,
Caldra Spark Foundation,Family Engagement Volunteer,"Tuesday, Thursday, Saturday",Morning,Both,75217
Caldra Spark Foundation,Reading Circle Facilitator,"Tuesday, Thursday",Evening,In Person,
The Mirophi Center,Youth Art Mentor,"Monday, Wednesday, Friday",Evening,Both,19143
The Mirophi Center,Exhibit Setup Volunteer,"Wednesday, Friday",Evening,In Person,20011
Veltrana Roots,Herbal Garden Steward,Sunday,Morning,In Person,10027
Veltrana Roots,Workshop Note Taker,Saturday,Afternoon,Remote,
Avenya Link,Technology Lending Librarian,"Wednesday, Friday",Evening,In Person,94110
Avenya Link,Call Center Support,"Monday, Wednesday, Friday",Evening,In Person,77021
Plintari Futures,Financial Literacy Facilitator,"Friday, Saturday, Sunday",Morning,Remote,
Plintari Futures,Youth Career Panelist,Thursday,Afternoon,Remote,
Elenta Commons,Oral History Interviewer,"Monday, Wednesday",Morning,Both,10027
Elenta Commons,Podcast Editing Volunteer,"Monday, Wednesday, Friday","Morning, Afternoon, Evening",Both,10027
Zafari Kinship Network,Family Liaison,"Monday, Tuesday, Wednesday, Thursday",Afternoon,Both,20011
Zafari Kinship Network,Wellness Workshop Host,"Monday, Tuesday, Wednesday, Thursday",Evening,Remote,
Trevia Circle,Community Potluck Planner,Saturday,Evening,Both,77021
Trevia Circle,Intergenerational Program Lead,"Wednesday, Friday",Afternoon,Remote,
Kindra Thread Co-op,Textile Arts Volunteer,"Friday, Saturday, Sunday",Evening,In Person,60640
Kindra Thread Co-op,Repair Café Assistant,"Friday, Saturday, Sunday",Afternoon,In Person,60640
Ombera Voices,Writing Mentor,Sunday,"Morning, Afternoon, Evening",Both,10027
Ombera Voices,Newsletter Designer,Sunday,Afternoon,In Person,94110
Dralith Outreach Corps,Crisis Resource Assistant,Saturday,Afternoon,Remote,
Dralith Outreach Corps,Meal Distribution Coordinator,"Monday, Wednesday, Friday",Afternoon,Both,77021
Saphros Way Initiative,Eco Club Mentor,"Monday, Wednesday, Friday",Afternoon,Remote,
Saphros Way Initiative,Community Mapping Volunteer,"Monday, Wednesday",Morning,In Person,94110
Cinterra Bloom,Urban Farming Assistant,"Friday, Saturday, Sunday",Morning,Remote,
Cinterra Bloom,Harvest Day Organizer,"Tuesday, Thursday",Evening,Both,77021
MyndiFold Collective,Legal Aid Intake Volunteer,"Friday, Saturday, Sunday",Morning,Both,85009
MyndiFold Collective,Tenant Rights Educator,"Tuesday, Thursday",Afternoon,Remote,
Volari KinWorks,Conflict Mediation Helper,"Monday, Wednesday",Evening,Remote,
Volari KinWorks,Block Party Volunteer,"Tuesday, Thursday, Saturday",Evening,In Person,30303
Harela Nexus,ESL Class Assistant,"Tuesday, Thursday",Evening,Both,48219
Harela Nexus,Citizenship Test Tutor,"Monday, Tuesday, Wednesday, Thursday",Morning,In Person,48219
RindleFrame Foundation,Art Supplies Curator,"Wednesday, Friday",Evening,Both,85009
RindleFrame Foundation,Youth Art Camp Volunteer,"Friday, Saturday, Sunday",Afternoon,Both,85009
EvraNest Network,Digital Resource Curator,"Monday, Tuesday, Wednesday, Thursday",Evening,Both,75217
EvraNest Network,Seniors Tech Coach,"Monday, Wednesday",Evening,In Person,75217
The Florenth Bridge,Language Exchange Partner,"Monday, Wednesday, Friday",Morning,In Person,48219
The Florenth Bridge,Cultural Night Volunteer,"Wednesday, Friday",Afternoon,In Person,94110
Zenthira Lab,STEM Workshop Assistant,"Monday, Wednesday, Friday",Evening,In Person,19143
Zenthira Lab,Data Entry Support,Thursday,"Morning, Afternoon, Evening",Remote,
Paxtrova Peaceworks,Peer Mediation Guide,"Tuesday, Thursday",Morning,In Person,77021
Paxtrova Peaceworks,Restorative Circle Note Taker,"Tuesday, Thursday",Morning,Both,30303
Juntri Wildkeepers,Trail Clean-up Crew,Saturday,Morning,In Person,94110
Juntri Wildkeepers,Native Plant Tagger,"Monday, Tuesday, Wednesday, Thursday",Afternoon,In Person,94110
Quiverna Youth Hub,Homework Club Volunteer,"Monday, Wednesday, Friday",Evening,In Person,77021
Quiverna Youth Hub,College Essay Reviewer,"Friday, Saturday, Sunday",Morning,Both,60609
Nexari Reach,Wellness Check Caller,Thursday,"Morning, Afternoon, Evening",Remote,
Nexari Reach,Community Census Helper,Saturday,Evening,Both,10027
Blintra Seed Collective,Seed Library Organizer,Thursday,Morning,Both,30303
Blintra Seed Collective,Gardening Journal Designer,"Monday, Wednesday, Friday","Morning, Afternoon, Evening",Both,30303
The Talvyn Guild,Storytelling Night Host,"Friday, Saturday, Sunday",Evening,Remote,
The Talvyn Guild,Event Set-up Crew,Sunday,Evening,In Person,85009
The Talvyn Guild,Costume Lending Librarian,Thursday,Evening,In Person,85009